apk_name, have_lib, [arm64-v8a, armeabi-v7a, armeabi, x86, x86_64, mips, mips64, other], native-activity, ([jni_method_total_num, static_num, nostatic_num], [total_all_type, total_basic_type, total_icc_type, total_complex_type, total_complex_type]), [so_total_num, so_Java_num, so_onLoad_num], [have_other_elf, have_pwd_zip]
['org.woheller69.hugassist_22', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.team242.robozzle_61', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.muslimtechnet.lanelexicon_19', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([288, 24, 264], [547, 327, 9, 211]), [2, 0, 1], [0, 0]]
['dev.obfusk.jiten_1010100002', 1, [1, 0, 0, 0, 0, 0, 0, 0], 0, ([4, 3, 1], [17, 12, 0, 5]), [7, 1, 1], [0, 0]]
['de.democracydeutschland.app_103578', 1, [0, 1, 0, 1, 0, 0, 0, 0], 0, ([232, 33, 199], [602, 521, 0, 81]), [17, 2, 5], [0, 0]]
['uk.co.busydoingnothing.prevo_26', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.hosenhasser.funktrainer_51', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([25, 0, 25], [86, 77, 0, 9]), [5, 1, 0], [0, 0]]
['eu.dfdx.jslab_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.LAPARCELA.nihonoari_13', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([41, 4, 37], [152, 135, 1, 16]), [2, 0, 1], [0, 0]]
['de.codecivil.habsgleich_10802', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.github.egonw.isotopes_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['online.xournal.mobile_27', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([35, 4, 31], [129, 115, 1, 13]), [2, 0, 1], [0, 0]]
['br.com.colman.nato_101', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([88, 8, 80], [169, 100, 4, 65]), [0, 0, 0], [0, 0]]
['org.inventati.massimol.liberovocab_38', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.jkcarino.ankieditor_9', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.gonnaggstudio.oh_tai_gi_22', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([31, 4, 27], [113, 101, 1, 11]), [2, 0, 1], [0, 0]]
['ga.testapp.testapp_66', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([31, 4, 27], [113, 101, 1, 11]), [2, 0, 1], [0, 0]]
['dev.obfusk.jiten_webview_202108010', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.moekadu.metronome_59', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['cz.lastaapps.menza_1040100', 1, [1, 1, 0, 1, 1, 0, 0, 0], 0, ([8, 0, 8], [24, 23, 0, 1]), [2, 1, 1], [0, 0]]
['xyz.yeikoff.librebible_20231110', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['de.drhoffmannsoftware.xearth_22', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.sli.ohmcalc_1', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.aminb.mathtools.app_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['com.edwardoyarzun.diccionario_2', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.woheller69.arity_155', 0, [0, 0, 0, 0, 0, 0, 0, 0], 0, ([0, 0, 0], [0, 0, 0, 0]), [0, 0, 0], [0, 0]]
['org.nhcham.hamfisted_14', 1, [1, 1, 0, 0, 1, 0, 0, 0], 0, ([116, 23, 93], [282, 193, 5, 84]), [2, 0, 1], [0, 0]]
